fx_risco,qtd,media_prob,media_scr,sd_limite,media_limite,mediana_limite,pd_observado,min_limite,max_limite,IC_inf,IC_sup,media_limite_isotonico
"(715.793, 721.449]",3118,0.013737976407866254,718.6279896709883,4822.917418433516,7436.691095822759,6998.0,0.003207184092366902,500.0,38400.0,7267.339796080883,7606.042395564635,7657.312079731054
"(710.084, 715.793]",3118,0.014850165163574448,712.9316335367429,4889.633065261727,7466.562890536729,7013.0,0.004490057729313663,500.0,40000.0,7294.868946183047,7638.2568348904115,7657.312079731054
"(704.307, 710.084]",3118,0.016068456708512847,707.1555125211626,5131.477682532678,7626.432626850278,7038.0,0.006735086593970494,500.0,40000.0,7446.246581820381,7806.6186718801755,7657.312079731054
"(692.601, 698.383]",3118,0.01883233240319368,695.5030630889341,4935.954943328389,7630.341170060427,7038.0,0.010262989095574085,500.0,38400.0,7457.02068525903,7803.661654861825,7657.312079731054
"(519.527, 528.672]",3118,0.17132898429919147,524.0565745126357,6681.280655965702,7660.254978601261,6394.0,0.13822963438101346,500.0,40000.0,7425.649351993715,7894.860605208808,7657.312079731054
"(698.383, 704.307]",3117,0.017393467786725087,701.342909844173,5049.638257516518,7680.6285661838,7172.0,0.006416426050689766,500.0,40000.0,7503.287757544774,7857.9693748228265,7657.312079731054
"(686.708, 692.601]",3118,0.020396211069675655,689.6343160453291,5229.101985146458,7914.4266969163555,7248.5,0.009300833867864015,500.0,45763.0,7730.812684724746,8098.040709107965,7657.312079731054
"(680.912, 686.708]",3118,0.022077915924858478,683.7951320058886,5165.719188344779,8081.078176926593,7415.0,0.008338678640153944,400.0,38191.2,7899.689780081126,8262.46657377206,7657.312079731054
"(537.484, 546.065]",3118,0.13911972686131216,541.8289569134822,6677.897995777828,8130.161725478789,6900.0,0.11193072482360487,500.0,40000.0,7895.6748771644825,8364.648573793094,7657.312079731054
"(528.672, 537.484]",3117,0.1541866760520548,533.1380281771146,6926.142381383714,8151.055137139811,6888.0,0.12255373756817453,500.0,40000.0,7907.812427855581,8394.297846424042,7657.312079731054
"(675.007, 680.912]",3117,0.023868566990405713,678.0376264854683,5311.5019604218005,8250.047112325585,7502.0,0.008982996470965673,500.0,40000.0,8063.509779409338,8436.584445241831,7657.312079731054
"(669.023, 675.007]",3118,0.025886243674708265,672.0354267180332,5513.66712669921,8307.546969038662,7560.0,0.011545862732520847,400.0,38400.0,8113.9407731951,8501.153164882224,7657.312079731054
"(546.065, 554.293]",3118,0.12577370657795597,550.211246251872,6702.565674034282,8400.133760556391,7200.0,0.09846055163566389,500.0,40000.0,8164.78073457162,8635.486786541163,7657.312079731054
"(663.119, 669.023]",3118,0.028035306605320814,666.122322414946,5580.130265815111,8430.856957228838,7754.0,0.009942270686337396,500.0,40000.0,8234.916983296689,8626.796931160987,7657.312079731054
"(651.29, 657.344]",3117,0.032850580610664606,654.330522905356,5526.80299798523,8478.693738906884,7645.0,0.012832852101379532,500.0,40000.0,8284.595139587942,8672.792338225827,7657.312079731054
"(657.344, 663.119]",3118,0.0303447201660737,660.2393334781225,5623.1380398418405,8539.444505305533,7700.0,0.013470173187940988,500.0,40000.0,8341.99436194718,8736.894648663887,7657.312079731054
"(645.35, 651.29]",3118,0.03559432876378159,648.3390273176698,5799.327179002674,8689.246074105236,7838.0,0.021167415009621552,500.0,40000.0,8485.60924805494,8892.882900155533,7657.312079731054
"(554.293, 562.44]",3118,0.11380145701495957,558.4088208490248,7152.49549930746,8810.85395971852,7241.0,0.07985888389993585,400.0,40000.0,8559.702155921088,9062.005763515954,7657.312079731054
"(638.88, 645.35]",3118,0.038668295604889824,642.1367657929229,5924.920801782154,8865.223626380819,7938.0,0.01763951250801796,500.0,40000.0,8657.176722070484,9073.270530691154,7657.312079731054
"(632.533, 638.88]",3118,0.042128721620505905,635.6927279022447,6100.4537081028275,8923.933310638831,7898.0,0.02084669660038486,400.0,40000.0,8709.722766511804,9138.143854765858,7657.312079731054
"(626.3, 632.533]",3117,0.045796340651208495,629.3941049838932,6260.2199589693355,8984.406954444565,7920.0,0.0247032402951556,500.0,40000.0,8764.551112666346,9204.262796222783,7657.312079731054
"(562.44, 570.293]",3117,0.10304545963792659,566.4401668776178,7182.322447515323,8993.584570781608,7560.0,0.0737888995829323,400.0,46080.0,8741.344943744436,9245.82419781878,7657.312079731054
"(570.293, 577.688]",3118,0.09375990476563022,573.9917666961281,6997.242054412427,9032.317556014334,7587.0,0.061257216164207824,500.0,40000.0,8786.617301642542,9278.017810386125,7657.312079731054
"(620.029, 626.3]",3118,0.049680234151444055,623.2277814666594,6232.3122672501095,9033.246111766908,8013.0,0.030788967286722257,500.0,40000.0,8814.405503212833,9252.086720320984,7657.312079731054
"(606.867, 613.538]",3118,0.05892052895985725,610.221084277212,6601.513470421511,9148.308000687603,7898.0,0.03495830660679923,500.0,48000.0,8916.503308737785,9380.11269263742,7657.312079731054
"(585.347, 592.867]",3118,0.07737853090468515,589.1384236689404,6769.186604078844,9169.28988042816,7981.0,0.05997434252726107,400.0,40000.0,8931.597535704499,9406.98222515182,7657.312079731054
"(592.867, 600.0]",3118,0.07039878747470234,596.4987973798915,6897.0879002376905,9202.537850586476,7970.0,0.04714560615779346,500.0,100000.0,8960.354396257582,9444.721304915369,7657.312079731054
"(613.538, 620.029]",3118,0.05409065833318343,616.7578569680867,6710.890442233876,9299.842920287994,7976.0,0.028864656831302116,500.0,40000.0,9064.197579467133,9535.488261108856,7657.312079731054
"(577.688, 585.347]",3118,0.0852120246175054,581.567563120158,6979.39521298817,9334.724703154763,7986.0,0.06254008980115458,400.0,40000.0,9089.651120469269,9579.798285840257,7657.312079731054
"(600.0, 606.867]",3117,0.0642998828161404,603.5056324208161,6859.037780978802,9486.743305916605,8096.0,0.04812319538017324,500.0,46080.0,9245.857277149338,9727.629334683872,7657.312079731054
